,title,abstract
18,The U.S. Now Leads the World in Confirmed Coronavirus Cases,"Following a series of missteps, the nation is now the epicenter of the pandemic."
19,Lawmakers Question Start-Ups on At-Home Kits for Coronavirus Testing,The makers of unauthorized kits designed for consumers to collect their own saliva or throat swabs faced scrutiny from Congress.
20,‘The Other Option Is Death’: New York Starts Sharing of Ventilators,"To keep coronavirus patients breathing, hospitals are pioneering a little-tested method."
21,Will the Coronavirus Make Restaurants Like Mine Extinct?,"If it can, the devastated industry should start from scratch after the epidemic and finally take care of its workers."
22,"With Meetings Banned, Millions Struggle to Stay Sober On Their Own","Addiction experts are calling the coronavirus pandemic a national relapse trigger. Online support groups, doctors and even federal agencies are rushing to aid people in recovery."
23,‘What Are the Symptoms?’ ‘Is There a Cure?’ and Other Coronavirus Questions,Here’s what to do if you feel sick and are worried it may be the coronavirus.
24,Obamacare Turns 10. Here’s a Look at What Works and Doesn’t.,"With the coronavirus, a new Supreme Court case and a blistering election debate, the Affordable Care Act is facing challenges as never before. We looked at how it’s held up to its  promise."
25,When Dementia Meets the Coronavirus Crisis,Disruptions in routines and the need for hands-on care are among the special challenges for dementia patients and their caregivers.
26,How Does the Coronavirus Compare With the Flu?,"As new cases appear in the U.S., some — including the president — have compared it to the seasonal flu. Here’s a close look at the differences."
27,Eleven States Now Letting Uninsured Sign Up for Obamacare,More coronavirus care will be covered in many states. Federal officials are considering similar action for the state markets they run.
28,Are You Pregnant and Concerned About Coronavirus? Tell Us Your Concerns.,"We’d like to hear your concerns about bearing a child during the coronavirus pandemic. Please fill out our brief form, and a reporter may respond to you."
29,Medicare Is Updating Coverage to Help in the Coronavirus Crisis,"With its beneficiaries among the most at risk for Covid-19, the agency is relaxing some rules."
30,Strikes and Attack Ads: The Hard Roads to Universal Health Care,"Britain, Australia and Canada have universal health care, and its citizens are mostly happy with it. But getting there wasn’t easy."
31,"Routine Medical Care May Break Down, and Covid-19 Is Behind It","We run a suburban medical office, not a front-line emergency room. But the lack of protective gear also affects us, and the people who need us."
32,A Medical Class ‘Minted by the Pandemic’,"Across the nation, medical students are graduating directly into the path of an epic health crisis."
33,You’ve Got Mail. Will You Get the Coronavirus?,The practice of disinfecting mail dates back to the invention of quarantine. There’s little evidence it needs to be invoked today.
34,I Followed the U.K.’s Advice. Did I Spread Coronavirus?,The symptoms are not as straightforward as Boris Johnson makes them seem.
35,Grieving the Losses of Coronavirus,"In addition to the tragic losses of life and health and jobs we are grieving the losses of weddings, sports and the ability to buy eggs or get a haircut."
36,"Supplements for Coronavirus Probably Won’t Help, and May Harm",Worried Americans are scrambling to buy wellness products they think will protect against coronavirus. Some may do harm.
37,Early Graduation Could Send Medical Students to Virus Front Lines,Hundreds of fourth-year students at universities in Boston and New York could start caring for patients months ahead of schedule.
38,These Doctors Have Specialties. Fighting Coronavirus Wasn’t One of Them.,The pandemic’s spread is creating new challenges for doctors who usually care primarily for patients with particular medical needs.
39,"They Don’t Hide From the Coronavirus, They Confront It","Millions of health care workers are running to where they are needed, sometimes risking their lives."
40,How Has Your State Reacted to Social Distancing?,Much of the country has ground to a halt. But not all of it.
41,Welcome to the Virosphere,"SARS-CoV-2, the cause of the pandemic, belongs to one of 6,828 named species of virus. Hundreds of thousands more species are known, with perhaps trillions waiting to be found."
42,Coronavirus Gives Trump a Chance to Make Good on His Promises,His vision of how to wield American power has a lot going for it in a crisis like this one.
43,Scientists Identify 69 Drugs to Test Against the Coronavirus,"Two dozen of the medicines are already under investigation. Also on the list: chloroquine, a drug used to treat malaria."
44,"When Coronavirus Closes Your Lab, Can Science Go On?","Plenty of work can be done from home, but the pandemic is forcing some parts of the scientific process to be put on the shelf."
45,"In Italy, Coronavirus Takes a Higher Toll on Men","Being male may be a risk factor for illness, just as being older is, experts say."
46,The Calculus of Coronavirus Care,A shortage of ventilators is bad. A shortage of doctors and nurses critically compounds the problem.
47,Coronavirus May Keep California’s Nursing Students From Graduating,"As many as 14,000 students may be unable to complete their rotations, making them unavailable to help."
48,"Pelosi, Seeking to Insulate House Majority, Presses Plan to Lower Health Costs",Speaker Nancy Pelosi’s plan is aimed at distancing vulnerable Democrats from Medicare for All and other proposals being pushed by the party’s presidential contenders.
49,Doctors and Patients Turn to Telemedicine in the Coronavirus Outbreak,"The use of virtual visits climbs as a way of safely treating patients and containing spread of the infection at hospitals, clinics and medical offices."
50,"Coronavirus Tests Are Now Free, but Treatment Could Still Cost You","Congress passed legislation covering people’s costs for getting tested for the virus, but you could still face high bills for everything else."
51,How to Donate Blood as Coronavirus Threatens the U.S. Supply,What you need to know about donating in a time of crisis.
52,That ‘Miracle Cure’ You Saw on Facebook? It Won’t Stop the Coronavirus,"Gargling warm salty water, taking vitamins or heating your nasal passages won’t eliminate the virus or keep it from reaching your lungs."
53,Can Smart Thermometers Track the Spread of the Coronavirus?,A company that makes internet-connected thermometers has followed the flu more closely than the C.D.C. can. Now the devices may be turning up cases of Covid-19.
54,California Cracks Down on Alternative Health Plans,State insurance regulators accused a ministry offering an alternative to traditional insurance of misleading consumers.
55,Eating Fish During Pregnancy May Have Metabolic Benefits for Children,One to three weekly servings of fish during pregnancy was tied to better metabolic health in offspring.
56,You Can Help Break the Chain of Transmission,"“Every time each of us stops, or even just delays, an infection is a small victory.”"
57,"My Coronavirus Test: 5 Days, a Dozen Calls, Hours of Confusion",The symptoms have been easy to deal with. The health care system has not.
58,"With Minimal Evidence, Trump Asks F.D.A. to Study Malaria Drugs for Coronavirus","The use of the existing drugs against the new virus is unproven, and some shortages have already been reported."
59,These Places Could Run Out of Hospital Beds as Coronavirus Spreads,"New estimates from a Harvard research team show that, in many parts of the country, there may not be enough hospital beds and staff for coronavirus patients. A shortage of intensive care beds for the sickest patients may be even worse."
60,"Complacency, Not Panic, Is the Real Danger","Only a small minority of people panic under threat, research shows. Far more don’t take the threat seriously enough."
61,Why Telling People They Don’t Need Masks Backfired,"To help manage the shortage, the authorities sent a message that made them untrustworthy."
62,Where Women Are Ahead of Men: Hand Washing,"During a global pandemic, personal hygiene habits have far-reaching consequences."
63,Did Federal Officials Really Question W.H.O. Tests for Coronavirus?,Dr. Deborah Birx said she did not mean to suggest the widely used diagnostic tests generated frequent false-positive results.
64,Coronavirus Highlights the Pitfalls of Health Deductibles,There’s a risk in cost sharing: It may deter people from getting needed care.
65,"No More Than 10 People in One Place, Trump Said. But Why?",The recommendations of federal agencies and other jurisdictions for limiting crowd sizes have varied widely in recent days.
66,Nunes Encourages People to Dine Out as Experts Urge Them to Stay Home,"Representative Devin Nunes, a California Republican, appealed to Americans to help promote the economy in the face of the coronavirus pandemic. Health experts are advocating isolation."
67,Could Coronavirus Cause as Many Deaths as Cancer in the U.S.? Putting Estimates in Context,How the best- and worst-case scenarios compare with other common killers.
68,"Pence Pledges High-Speed Coronavirus Testing From 2,000 Labs This Week","Federal officials said many more drive-through testing sites, along with expanded processing of tests by commercial labs, would help ease a bottleneck."
69,Aging Out of the Mammogram,"For many women, regular breast cancer screening is standard medical protocol. But for older women, should it be?"
70,"With Test Kits in Short Supply, Health Officials Sound Alarms","Despite efforts by President Trump and others to reassure the public that tests are getting disseminated quickly, several states, doctors and patients complained that access was limited."
71,How to Protect Older People From the Coronavirus,"People over 60, and especially over 80, are particularly vulnerable to severe or fatal infection. Here are some steps to reduce their risk."
72,"Weekly Health Quiz: Coronavirus, Exercise and Prostate Cancer",Test your knowledge of this week’s health news.
73,How to Fix the Coronavirus Testing Mess in 7 Days,President Trump finally put someone in charge. Here’s what needs to be done next.
74,"C.D.C.’s Dr. Robert Redfield Confronts Coronavirus, and Anger","He has been cautious, technical and reserved in the face of intense criticism for the agency’s delay in rolling out testing for the infection."
75,Trump’s False Claims About His Response to the Coronavirus,"The president inaccurately described travel restrictions he had announced, falsely blamed his predecessor for testing shortages and misstated the role Google was playing in mitigating the outbreak."
76,Trump Administration Moves to Speed Coronavirus Testing,The Department of Health and Human Services and the Food and Drug Administration are funding private companies that are rushing faster tests to the market.
77,These Lab Animals Will Help Fight Coronavirus,"Scientists are ramping up the breeding of lab mice as well as the testing of primates and other animals, but it all takes time."
78,"Your Nose Itches. Is It Allergies, Flu or the Coronavirus?",Seasonal allergy symptoms differ from those caused by viral infections like influenza or the coronavirus.
79,China Bought the West Time. The West Squandered It.,Why did so many countries watch the epidemic unfold for weeks as though it was none of their concern?
80,Opioid Settlement Offer Provokes Clash Between States and Cities,The big drug distributors would pay $19.2 billion over 18 years. Some 30 states have signed on so far but most cities and counties hate the deal.
81,The World Has a Plan to Fight Coronavirus. Most Countries Are Not Using it.,The World Health Organization is supposed to coordinate the global response to epidemics. But the U.N. agency cannot force countries to play by international rules.
82,Why Soap Works,"At the molecular level, soap breaks things apart. At the level of society, it helps hold everything together."
83,Mapping the Social Network of Coronavirus,"To slow the virus, Alessandro Vespignani and other analysts are racing to model the behavior of its human host."
84,How the Coronavirus May Force Doctors to Decide Who Can Live and Who Dies,"In the face of overwhelming demand and limited resources, health care would need to be rationed, with agonizing decisions."
85,"How Much Worse the Coronavirus Could Get, in Charts",Play with a model of coronavirus in the U.S.
86,No Room at the Inn,Hospital emergency rooms have been overcrowded for years. The new coronavirus will drastically compound the problem.
87,"As Death Toll Mounts, Governments Point Fingers Over Coronavirus","The head of the World Health Organization said it was “not a time for excuses,” but some countries have been busily exchanging blame."
88,"As Coronavirus Testing Increases, Some Labs Fear a Shortage of Other Supplies",Lab directors and federal officials are keeping a close eye on the supply of other materials needed to conduct the tests.
89,How Right-Wing Pundits Are Covering Coronavirus,"Following President Trump’s lead, many commentators have played down fears."
90,"Coronavirus Has Become a Pandemic, W.H.O. Says","But the virus can still be stopped if nations are willing to take aggressive measures, said the organization’s director-general."
91,‘It’s Just Everywhere Already’: How Delays in Testing Set Back the U.S. Coronavirus Response,"A series of missed chances by the federal government to ensure more widespread testing came during the early days of the outbreak, when containment would have been easier."
92,Insulin Costs May Be Capped in a Medicare Program,"If drug companies and insurers agree to participate, the Trump administration proposes limiting insulin costs to $35 a month for some older Americans."
93,The Benefits of Exercise for Children’s Mental Health,"Even light physical activity among adolescents was linked to better mental health as they got older, new research shows."
94,Some Hospitals Are Close to Running Out of Crucial Masks for Coronavirus,"N95 masks are essential for protecting health care workers and controlling the epidemic, but some hospitals have been unable to get new shipments as supplies dwindle."
95,New Data Rules Could Empower Patients but Undermine Their Privacy,New federal data-sharing requirements will enable people to use consumer apps to retrieve their medical information directly from their doctors.
96,"Even if Sanders Wins, Medicare for All Almost Certainly Won’t Happen","Most House Democrats who won Republican seats don’t support it. Even if Democrats win control of the Senate, they’ll be well short of a supermajority to overcome a filibuster."
97,The Patient Was Like My Dad in Two Telling Ways: Age and Sex,"Like some cartoonish anvil, the weight of my dad’s mortality hit me at a dying patient’s bedside."
98,Coronavirus Is Very Different From the Spanish Flu of 1918. Here’s How.,"The fear is similar, but the medical reality is not."
99,It Took Me 3 E.R. Visits to Get a Coronavirus Test in New York,"Thinking I had symptoms, I got a disturbing glimpse of the city’s chaotic and self-contradictory approach to containing the virus."
100,"Waive Fees for Coronavirus Tests and Treatment, Health Experts Urge","As the number of U.S. cases mounts, officials and advocates want to ensure that medical bills, especially for the poor or uninsured, are not an obstacle to seeking care."
101,"The ‘London Patient,’ Cured of H.I.V., Reveals His Identity","Adam Castillejo endured a decade of grueling treatments and moments of despair to become only the second person to be cured of H.I.V. Now, he says, “I want to be an ambassador of hope.”"
102,Not His First Epidemic: Dr. Anthony Fauci Sticks to the Facts,"Where politicians fumble and other government health officials step back, he steps up to explain."
103,The ‘London Patient’: Five Takeaways,"Adam Castillejo, only the second person to have been cured of H.I.V., reveals his name and tells his story."
104,"Trump, His Eye on the Border, Overlooked the Coronavirus Threat",His insistence that the danger was overseas and could be kept out led officials to downplay the disease’s spread and the need for tests.
105,"Inside Trump Administration, Debate Raged Over What to Tell Public","The administration’s response to the coronavirus has repeatedly matched public health experts against a hesitant White House, where worry of panic dominates."
106,Gyms and Coronavirus: What Are the Risks?,"Sweat cannot transmit the virus but high-contact surfaces, such as barbells, can pose a problem, a doctor said."
107,How Deadly Is Coronavirus? What We  Know and What We Don’t,"The disease is still so new, and testing so limited, that the usual methods of analysis epidemiologists rely on are not yet viable."
108,How to Quarantine Yourself,Thousands who may have been exposed to the coronavirus have been asked to seclude themselves. It’s harder than it sounds.
109,"As Coronavirus Spreads, How You Can Protect a Family Member in a Nursing Home",Residents of care facilities can be especially vulnerable to respiratory illnesses. Here’s what you can do to help.
110,"To Protect Global Health, Work With China",A senior Chinese official in Hong Kong on his government’s handling of the coronavirus outbreak.
111,Doctors Say U.K. Is Ill Prepared for Coronavirus,Intensive care beds are lacking. One area of Yorkshire has 35 beds to accommodate what could be hundreds of seriously ill patients.
112,"From Coughing Fits to Closings, Cultural World Girds for Coronavirus","Museums, theaters and concert halls in the United States are steeling themselves for fearful patrons, lighter crowds and possible government shutdowns."
113,What Has Mike Pence Done in Health?,"In naming him to lead the U.S. coronavirus response, President Trump praised his health policy record, but his biggest accomplishments are ones Republicans have opposed."
114,"The Coronavirus, by the Numbers",A mathematician who studies the spread of disease explains some of the figures that keep popping up in coronavirus news.
115,China’s Battle Against Coronavirus: 7 Takeaways,"Dr. Bruce Aylward, leader of the team that visited China, details what every country should do to stop the coronavirus."
116,Cruise Ship Held Off California Becomes New Focus of Concern,"A cruise liner bound for San Francisco from Hawaii is believed to be linked to two coronavirus cases, one of them fatal. More cases were found in a number of states, including Texas and New Jersey."
117,Estimates Fall Short of F.D.A.’s Pledge for 1 Million Coronavirus Tests,"Public and private labs say they’re not even close to reaching the federal government’s promises that thousands, if not a million, tests for the virus could be “performed” soon."
118,Inside China’s All-Out War on the Coronavirus,"Dr. Bruce Aylward, of the W.H.O., got a rare glimpse into Beijing’s campaign to stop the epidemic. Here’s what he saw."
119,What Pregnant Women Should Know About Coronavirus,"The risks, so far, seem no greater than for anyone else, but the research is thin and only applies to later stage of pregnancy."
120,Pence Will Control All Coronavirus Messaging From Health Officials,"The White House’s attempt to impose a more disciplined approach to communications about the virus was undermined by President Trump, who complained the news media was overstating the threat."
121,The Hard-Knocks Restaurant World Discovers Wellness,"Many employees are getting yoga, counseling and other benefits, as the industry tries to change an often unhealthy culture."
122,"Coronavirus Outbreak Will Spread in New York City, Officials Warn","“Community spread is going to be real,” Gov. Andrew M. Cuomo said. “That is inevitable.”"
123,How to Confront the Coronavirus at Every Level,"Tests need to be readied, protection equipment needs to be produced, medication needs to be developed. All of this will take funding."
124,"When a Drug Study Abruptly Ends, Volunteers Are Left to Cope","A participant might commit months or years to a drug trial, only to see it vanish overnight."
125,Stop Touching Your Face!,"It’s a quirk of human nature that we touch our eyes, noses and mouths all day long. It’s also a major way we pick up infections like coronavirus."
126,Avoiding Coronavirus May Be a Luxury Some Workers Can’t Afford,"A sick day? Remote work? Not so easy if your job is at a restaurant, a day care center or a construction site."
127,U.S. Plans ‘Radical Expansion’ of Coronavirus Testing,"The F.D.A. announced that it would allow hundreds of labs to test for the virus, while the Trump administration said it was distributing tens of thousands of testing kits."
128,Mental-Health Researchers Ask: What Is ‘Recovery’?,"There are many ways to measure mental distress. But it’s far harder to predict, or even describe, the improvement that often follows."
129,Who’s on the U.S. Coronavirus Task Force,Several of the nation’s top health officials are among those sitting on an advisory panel formed by President Trump.
130,"Kept at the Hospital on Coronavirus Fears, Now Facing Large Medical Bills","Care was mandated by the government, but it’s not clear who has to pay."
131,"When an Epidemic Looms, Gagging Scientists Is a Terrible Idea","In an epidemic, suppression of bad news costs lives and eventually angers the public. The White House is in danger of repeating the error."
132,Is the Coronavirus an Epidemic or a Pandemic? It Depends on Who’s Talking,"Last month, the World Health Organization stopped short of calling the outbreak a pandemic. Experts weigh in on the debate and explain the significance of the terms."
133,"To Take On the Coronavirus, Go Medieval on It","Quarantines and restrictive measures served a purpose in the old days. They can now, too."
134,Most Coronavirus Cases Are Mild. That’s Good and Bad News.,"More than 80 percent of confirmed coronavirus cases are not severe, according to a large Chinese study. But mild symptoms could also make the epidemic harder to contain."
135,We Knew Disease X Was Coming. It’s Here Now.,We need to stop what drives mass epidemics rather than just respond to individual diseases.
136,C.D.C. Confirms First Possible Community Transmission of Coronavirus in U.S.,A case in California may be the first infection without a known link to travel abroad.
137,They Were Infected With the Coronavirus. They Never Showed Signs.,Even asymptomatic people who are infected may be able to spread the virus. But people without symptoms are rarely tested.
138,Trump Names Mike Pence to Lead Coronavirus Response,President Trump sought to reassure the country that his government was controlling the spread of the coronavirus after his administration weathered days of criticism.
139,Are Foods Labeled ‘Low Sugar’ Misleading Consumers?,Food and drink claims like “just a tad sweet” or “healthy” may mask high levels of added sugars.
140,"The Difference Between Worry, Stress and Anxiety","They’re not all the same, but we do have tips to help you deal with all of them."
141,"Weekly Health Quiz: Intermittent Fasting, Coronavirus and Running Shoes",Test your knowledge of this week’s health news.
142,Japan Can’t Handle the Coronavirus. Can It Host the Olympics?,How leaders’ sense of entitlement breeds indifference and incompetence.
143,"As Fears of a Pandemic Mount, W.H.O. Says World Is Not Ready","The announcement comes as infections surge in Iran, Italy and South Korea. But the number of cases in China has begun to decline — for now."
144,Is It a Pandemic Yet?,It’s now clear that the coronavirus epidemic was never going to be contained. What’s next?
145,New Genomic Tests Aim to Diagnose Deadly Infections Faster,"Rapid genomic tests are poised to change the way doctors diagnose and treat infections, but their cost may limit widespread use."
146,"For China’s Overwhelmed Doctors, an Understanding Voice Across the Ocean","Erjing Cui, a Seattle psychotherapist, volunteers for Yong Xin Kang Yi, a crisis line for medical workers fighting the coronavirus epidemic."
147,The Health System We’d Have if Economists Ran Things,A survey of nearly 200 Ph.D. health economists finds them taking a few politically unpopular positions.
148,Why the Coronavirus Seems to Hit Men Harder Than Women,"Women mount stronger immune responses to infection, scientists say. And in China, men smoke in much greater numbers."
149,"Weekly Health Quiz: Exercise, Weight Gain and an Animal Tied to Coronavirus",Test your knowledge of this week’s health news.
150,How to Stop a Disease From Crossing Borders,The director of the Centers for Disease Control and Prevention’s Division of Global Health Protection talks about the coronavirus and her organization’s efforts to keep people safe when they travel.
151,Payout From a National Opioids Settlement Won’t Be as Big as Hoped,Expectations of a whopping payday set off thousands of lawsuits. But lawyers for the suing cities and states now concede that companies will shell out far less.
152,France Confirms First Death in Europe From Coronavirus,The death of an 80-year-old Chinese tourist in a Paris hospital was the first known fatality from the new virus outside Asia.
153,"In Trump’s Budget, Big Health Care Cuts but Few Details","The president’s proposal can be read as a second-term policy blueprint. On the future of the Affordable Care Act, it’s awfully vague."
154,Appeals Court Rejects Trump Medicaid Work Requirements in Arkansas,"The ruling, written by a Reagan appointee, said the administration failed to show how such rules would help Medicaid to meet its mission of covering the poor."
155,"They Wanted Research Funding, So They Entered the Lottery",A survey of New Zealand scientists found that recipients of a randomized funding program favored random allocations of some kinds of grant money.
156,A Timeline of the Coronavirus Pandemic,"The outbreak of the virus, which began in Wuhan, China, has sickened hundreds of thousands. More than 38,000 people have died."
157,Is Coffee Good for You?,Yes! But it depends on the kind of coffee and the quantity.
158,Lessons That Go Beyond the Coronavirus Outbreak,"There are more useful things to do than worry. For one thing, you could wash your hands. (And did you get your flu shot?)"
159,Why Do People Really Wear Face Masks During an Epidemic?,"To fend off disease, but also to show solidarity."
160,Why Doctors Dismiss Dizziness,"It’s one of the most common medical complaints, but patients say many doctors don’t take it seriously."
161,How Many Coronavirus Cases in China? Officials Tweak the Answer,China’s health authorities have decided to no longer count as confirmed cases those patients who test positive but don’t show symptoms. Skepticism was immediate.
162,"Coronavirus Test Kits Sent to States Are Flawed, C.D.C. Says","Some tests distributed by the agency deliver “inconclusive” readings. The C.D.C. will need to ship new ingredients, further delaying results."
163,A $4 Million NICU Bill: The Price of Prematurity,"As the number of preterm births rises, families are shouldering unexpected out-of-pocket expenses."
164,Indonesia Has No Reported Coronavirus Cases. Is That the Whole Picture?,"Experts find it astonishing that Indonesia has yet to announce a case despite hosting some 5,000 Chinese tourists a day in Bali before halting flights last week."
165,The Urgent Questions Scientists Are Asking About Coronavirus,Let’s start with what we don’t know.
166,Deaths in China Surpass Toll From SARS,"More than 900 people have died from the new virus in China. The 2002-3 epidemic, which also began in the country, killed 774 people worldwide."
167,"Temperature Check: Tracking Fever, a Key Symptom of Coronavirus","Taking one’s temperature to look for signs of fever is not as easy as it sounds. For one reporter, the first challenge was finding a thermometer."
168,"Inundated With Flu Patients, U.S. Hospitals Brace for Coronavirus","Resources are already stretched during flu season. With so much medical equipment and drugs made in China, public health experts are anxiously watching the global supply chain."
169,C.D.C. and W.H.O. Offers to Help China Have Been Ignored for Weeks,"Privately, Chinese doctors say they need outside expertise. But Beijing, without saying why, has shown no interest so far."
170,W.H.O. Fights a Pandemic Besides Coronavirus: An ‘Infodemic’,"Working with the big tech companies, the U.N. health agency has made strides in combating rumors and falsehoods on the internet about the new infection."
171,Inside the Race to Contain America’s First Coronavirus Case,"The health emergency is global, but in the United States, it is local public health officials who isolate the sick, trace “close contacts’’ and deliver thermometers."
172,"In Coronavirus, China Weighs Benefits of Buffalo Horn and Other Remedies",China is advising doctors to consider mixing Western antiviral drugs with traditional Chinese medicine for the treatment of the coronavirus. But experts question the efficacy of Chinese remedies.
173,"Even Without Symptoms, Wuhan Coronavirus May Spread, Experts Fear",A report purporting to describe asymptomatic transmission in Germany has come under fire. But many experts still believe it’s happening.
174,Would Your Wages Rise Under ‘Medicare for All’?,"Research suggests the answer is yes, but not in all cases, and with significant differences across jobs and labor markets."
175,"Weekly Health Quiz: Optimism, Muscles and Coronavirus",Test your knowledge of this week’s health news.
176,Hong Kong Tightens Border as Medical Workers Call for Shutdown,"More than 2,500 hospital employees went on strike, demanding a complete closing of traffic from mainland China to lessen the risk of spreading coronavirus."
177,Hong Kong Reports First Death From Coronavirus Outbreak,The death was the second from the virus outside mainland China. The patient was a 39-year-old man who had visited Wuhan and returned to Hong Kong on Jan. 23.
178,"As Other Democrats Feud, Bloomberg Hammers Trump on Health Care","While the presidential candidates argue about each other’s health plans, Michael Bloomberg’s ads have attacked the president over pre-existing conditions."
179,"Wuhan Coronavirus Looks Increasingly Like a Pandemic, Experts Say","Rapidly rising caseloads alarm researchers, who fear the virus may make its way across the globe. But scientists cannot yet predict how many deaths may result."
180,New York City Eyes First Suspected Case of Coronavirus,"A sample was being sent to the federal authorities for confirmation, the city Health Department said."
181,"Bonnie Burstow, Psychotherapist Who Rejected Psychiatry, Dies at 74","A self-described feminist therapist, she was a prominent voice in the anti-psychiatry movement, contending that the field is patriarchal."
182,"CPR, by Default","When very old patients suffer cardiac arrest, doctors usually try to revive them — even if they were already near death."
183,Doctors on TikTok Try to Go Viral,"They have M.D.s, but are they up for this challenge?"
184,How Chaos at Chain Pharmacies Is Putting Patients at Risk,"Pharmacists across the U.S. warn that the push to do more with less has made medication errors more likely. “I am a danger to the public,” one wrote to a regulator."
185,Pharmacists Make Mistakes. You Can Protect Yourself.,Medication errors come in many forms. Check the label. Read the instructions. Ask your pharmacist questions.
186,W.H.O. Declares Global Emergency as Wuhan Coronavirus Spreads,"The announcement came as nearly 10,000 cases have been reported worldwide."
187,My Father the Heartbreaker,"When my father was alive and raging and breaking our hearts, I didn’t understand that he had a broken heart, too."
188,Trump Administration Unveils a Major Shift in Medicaid,"States will be able to cap a portion of spending for the safety-net program, a change likely to diminish the number of people receiving health benefits through it."
189,"Deaths Surpass 200, and State Department Urges Against Travel to China","The United States set its advisory at Level 4, which represents the highest safety risk. The World Health Organization said the virus represents a risk outside of China."
190,American Life Expectancy Rises for First Time in Four Years,"Life expectancy, the most basic measure of the health of a society, rose slightly in 2018, after a rare and troubling decline driven by the opioid epidemic."
191,Mask Hoarders May Raise Risk of a Coronavirus Outbreak in the U.S.,"Stores are selling out of masks, and health care workers risk infection if they cannot get the protective gear."
192,"As Coronavirus Explodes in China, Countries Struggle to Control Its Spread","The time to prevent more epidemics is now, and countries are trying to seize the moment."
193,Researchers Are Racing to Make a Coronavirus Vaccine. Will It Help?,New technology and better coordination have sped up development. But a coronavirus vaccine is still months — and most likely years — away.
194,China Will Admit International Experts to Help Contain Coronavirus Outbreak,"As W.H.O. coordinates scientific teams, federal officials plan to expand screening of travelers from China to 20 ports of entry in the U.S."
195,Coronavirus Crisis Exposes Cracks in China’s Facade of Unity,"With anger rising over the response to the coronavirus outbreak, even some with ties to China’s leaders have called for acknowledging divisions, not papering them over."
196,Will the Largest Quarantine in History Just Make Things Worse?,The dirty history behind isolating the sick.
197,"More U.S. Coronavirus Cases Emerge, as China’s Death Toll Rises","The number of dead climbed to at least 80, while in the United States, five cases were confirmed."
198,Hollywood Women Push Directors Guild for Better Parental Benefits,"Taking leave can result in lost coverage, as one female director discovered after giving birth. She’s enlisted Amy Schumer, Amy Poehler and others in her effort to get the rules revised."
199,Trump Administration Threatens California Over Abortion,"If the state doesn’t stop requiring private insurers to cover abortions, the administration said it will cut off federal funding for certain health programs."
200,Chicago Woman Is Second Patient in U.S. With Wuhan Coronavirus,Federal health officials are monitoring 63 other people in 22 states for signs of infection.
201,"Coronavirus Is Spreading, but W.H.O. Says It’s Not a Global Emergency","The number of cases outside China is small, and the disease does not seem to be spreading within other countries."
202,Surgeon General Says ‘Shocking’ Portion of People Aren’t Told to Stop Smoking,"In a new report, he cited a number of helpful smoking cessation methods but said that e-cigarettes haven’t yet been proven to be an effective method."
